full_text,clean_text,tokens,stopword,remove_slang,stemming,stemming_sentence,translated_en,sentiment,polarity_score,label
Udah ngerasain #KaburAjaDulu trus balik bentar 50% nyesel 50% nya bersyukur gw lagi di indo pada saat bapak sedang sekarat dan berujung wafat. Seenggaknya perjalanan dari Jakarta ga selama kalo gw nyangkut di imigrasi for whatever weird coincidences. Tantangannya adalah ,udah ngerasain kaburajadulu trus balik bentar nyesel nya bersyukur gw lagi di indo pada saat bapak sedang sekarat dan berujung wafat seenggaknya perjalanan dari jakarta ga selama kalo gw nyangkut di imigrasi for whatever weird coincidences tantangannya adalah,"['udah', 'ngerasain', 'kaburajadulu', 'trus', 'balik', 'bentar', 'nyesel', 'nya', 'bersyukur', 'gw', 'lagi', 'di', 'indo', 'pada', 'saat', 'bapak', 'sedang', 'sekarat', 'dan', 'berujung', 'wafat', 'seenggaknya', 'perjalanan', 'dari', 'jakarta', 'ga', 'selama', 'kalo', 'gw', 'nyangkut', 'di', 'imigrasi', 'for', 'whatever', 'weird', 'coincidences', 'tantangannya', 'adalah']","['ngerasain', 'kaburajadulu', 'trus', 'bentar', 'nyesel', 'bersyukur', 'indo', 'sekarat', 'berujung', 'wafat', 'seenggaknya', 'perjalanan', 'jakarta', 'nyangkut', 'imigrasi', 'for', 'whatever', 'weird', 'coincidences', 'tantangannya']","['kaburajadulu', 'bentar', 'bersyukur', 'sekarat', 'berujung', 'wafat', 'seenggaknya', 'perjalanan', 'jakarta', 'nyangkut', 'imigrasi', 'for', 'whatever', 'weird', 'coincidences', 'tantangannya']","['kaburajadulu', 'bentar', 'syukur', 'sekarat', 'ujung', 'wafat', 'enggak', 'jalan', 'jakarta', 'nyangkut', 'imigrasi', 'for', 'whatever', 'weird', 'coincidences', 'tantang']",kaburajadulu bentar syukur sekarat ujung wafat enggak jalan jakarta nyangkut imigrasi for whatever weird coincidences tantang,kaburajadulu wait a minute dying the end of the death of the jakarta road not to get immigration for whatever weird coincidences challenge,negatif,-0.5,0
https://t.co/mC0g1FJSgk Sambil grinding buat persiapan KaburAjaDulu. All the best for all of you!,sambil grinding buat persiapan kaburajadulu all the best for all of you,"['sambil', 'grinding', 'buat', 'persiapan', 'kaburajadulu', 'all', 'the', 'best', 'for', 'all', 'of', 'you']","['grinding', 'persiapan', 'kaburajadulu', 'all', 'the', 'best', 'for', 'all', 'of']","['grinding', 'persiapan', 'kaburajadulu', 'all', 'the', 'best', 'for', 'all', 'of']","['grinding', 'siap', 'kaburajadulu', 'all', 'the', 'best', 'for', 'all', 'of']",grinding siap kaburajadulu all the best for all of,grinding siap kaburajadulu all the best for all of,positif,1.0,2
Apakah di sini ada yang butuh info apply visa buat #KaburAjaDulu ke Kanada US atau Eropa?,apakah di sini ada yang butuh info apply visa buat kaburajadulu ke kanada us atau eropa,"['apakah', 'di', 'sini', 'ada', 'yang', 'butuh', 'info', 'apply', 'visa', 'buat', 'kaburajadulu', 'ke', 'kanada', 'us', 'atau', 'eropa']","['butuh', 'info', 'apply', 'visa', 'kaburajadulu', 'kanada', 'us', 'eropa']","['butuh', 'info', 'apply', 'visa', 'kaburajadulu', 'kanada', 'us', 'eropa']","['butuh', 'info', 'apply', 'visa', 'kaburajadulu', 'kanada', 'us', 'eropa']",butuh info apply visa kaburajadulu kanada us eropa,need info apply visa kaburajadulu canada us europe,netral,0.0,1
@twisterfruity Search hashtag #kaburajadulu ,search hashtag kaburajadulu,"['search', 'hashtag', 'kaburajadulu']","['search', 'hashtag', 'kaburajadulu']","['search', 'hashtag', 'kaburajadulu']","['search', 'hashtag', 'kaburajadulu']",search hashtag kaburajadulu,search hashtag kaburajadulu,netral,0.0,1
@cattominyg @tanyakanrl biar bisa make hastag #KaburAjaDulu,biar bisa make hastag kaburajadulu,"['biar', 'bisa', 'make', 'hastag', 'kaburajadulu']","['make', 'hastag', 'kaburajadulu']","['hastag', 'kaburajadulu']","['hastag', 'kaburajadulu']",hastag kaburajadulu,hastag kaburajadulu,netral,0.0,1
Yuk #kaburajadulu ke US...,yuk kaburajadulu ke us,"['yuk', 'kaburajadulu', 'ke', 'us']","['kaburajadulu', 'us']","['kaburajadulu', 'us']","['kaburajadulu', 'us']",kaburajadulu us,__kabujaradulu__ us,netral,0.0,1
Lebih baik hati-hati sama narasi #KaburAjaDulu teliti baik-baik. Salah-salah malah hidup lu makin susah dan yang ngajak kabur aja dulu ga tanggung jawabz Jaman skrg perlu skeptis sama segala sesuatu supaya ga ketipu.,lebih baik hatihati sama narasi kaburajadulu teliti baikbaik salahsalah malah hidup lu makin susah dan yang ngajak kabur aja dulu ga tanggung jawabz jaman skrg perlu skeptis sama segala sesuatu supaya ga ketipu,"['lebih', 'baik', 'hatihati', 'sama', 'narasi', 'kaburajadulu', 'teliti', 'baikbaik', 'salahsalah', 'malah', 'hidup', 'lu', 'makin', 'susah', 'dan', 'yang', 'ngajak', 'kabur', 'aja', 'dulu', 'ga', 'tanggung', 'jawabz', 'jaman', 'skrg', 'perlu', 'skeptis', 'sama', 'segala', 'sesuatu', 'supaya', 'ga', 'ketipu']","['hatihati', 'narasi', 'kaburajadulu', 'teliti', 'baikbaik', 'salahsalah', 'hidup', 'susah', 'ngajak', 'kabur', 'tanggung', 'jawabz', 'jaman', 'skrg', 'skeptis', 'ketipu']","['hatihati', 'narasi', 'kaburajadulu', 'teliti', 'baikbaik', 'salahsalah', 'hidup', 'susah', 'kabur', 'tanggung', 'jawabz', 'jaman', 'skeptis']","['hatihati', 'narasi', 'kaburajadulu', 'teliti', 'baikbaik', 'salahsalah', 'hidup', 'susah', 'kabur', 'tanggung', 'jawabz', 'jaman', 'skeptis']",hatihati narasi kaburajadulu teliti baikbaik salahsalah hidup susah kabur tanggung jawabz jaman skeptis,hatihati narrative kaburajadulu careful good good one of the salah life difficult to fix responsibility of skeptic age,positif,0.1999999999999999,2
@hader4ch #KaburAjaDulu kak,kaburajadulu kak,"['kaburajadulu', 'kak']",['kaburajadulu'],['kaburajadulu'],['kaburajadulu'],kaburajadulu,__kabujadulu__,netral,0.0,1
@tanganjojo #kaburajadulu,kaburajadulu,['kaburajadulu'],['kaburajadulu'],['kaburajadulu'],['kaburajadulu'],kaburajadulu,__kabujadulu__,netral,0.0,1
save dulu aja siapa tau ada rezekinya bisa #kaburajadulu,save dulu aja siapa tau ada rezekinya bisa kaburajadulu,"['save', 'dulu', 'aja', 'siapa', 'tau', 'ada', 'rezekinya', 'bisa', 'kaburajadulu']","['save', 'rezekinya', 'kaburajadulu']","['save', 'rezekinya', 'kaburajadulu']","['save', 'rezeki', 'kaburajadulu']",save rezeki kaburajadulu,save sustenance kaburajadulu,netral,0.0,1
Tapi intinya noted lah either ngusahain punya mobil dan atau rumah dulu sebelum nikah atau langsung #KaburAjaDulu ke negara yg transumnya layak buat kemana2 termasuk safety buat ibu hamil dan anak2. Best effort mengusahakan semuanya ‍,tapi intinya noted lah either ngusahain punya mobil dan atau rumah dulu sebelum nikah atau langsung kaburajadulu ke negara yg transumnya layak buat kemana termasuk safety buat ibu hamil dan anak best effort mengusahakan semuanya,"['tapi', 'intinya', 'noted', 'lah', 'either', 'ngusahain', 'punya', 'mobil', 'dan', 'atau', 'rumah', 'dulu', 'sebelum', 'nikah', 'atau', 'langsung', 'kaburajadulu', 'ke', 'negara', 'yg', 'transumnya', 'layak', 'buat', 'kemana', 'termasuk', 'safety', 'buat', 'ibu', 'hamil', 'dan', 'anak', 'best', 'effort', 'mengusahakan', 'semuanya']","['intinya', 'noted', 'either', 'ngusahain', 'mobil', 'rumah', 'nikah', 'kaburajadulu', 'negara', 'yg', 'transumnya', 'layak', 'kemana', 'safety', 'hamil', 'anak', 'best', 'effort', 'mengusahakan']","['intinya', 'noted', 'either', 'ngusahain', 'mobil', 'rumah', 'nikah', 'kaburajadulu', 'negara', 'transumnya', 'layak', 'kemana', 'safety', 'hamil', 'anak', 'best', 'effort', 'mengusahakan']","['inti', 'noted', 'either', 'ngusahain', 'mobil', 'rumah', 'nikah', 'kaburajadulu', 'negara', 'transumnya', 'layak', 'mana', 'safety', 'hamil', 'anak', 'best', 'effort', 'usaha']",inti noted either ngusahain mobil rumah nikah kaburajadulu negara transumnya layak mana safety hamil anak best effort usaha,inti noted either trying a marriage house car kaburajadulu state transum is appropriate,positif,0.5,2
yuk tahun depan #kaburajadulu,yuk tahun depan kaburajadulu,"['yuk', 'tahun', 'depan', 'kaburajadulu']","['tahun', 'kaburajadulu']","['tahun', 'kaburajadulu']","['tahun', 'kaburajadulu']",tahun kaburajadulu,year kaburajadulu,netral,0.0,1
Urg juga tau gini mending jadi jongos di kapal pesiar. Merayakan gerakan #KaburAjaDulu,urg juga tau gini mending jadi jongos di kapal pesiar merayakan gerakan kaburajadulu,"['urg', 'juga', 'tau', 'gini', 'mending', 'jadi', 'jongos', 'di', 'kapal', 'pesiar', 'merayakan', 'gerakan', 'kaburajadulu']","['urg', 'mending', 'jongos', 'kapal', 'pesiar', 'merayakan', 'gerakan', 'kaburajadulu']","['urg', 'mending', 'jongos', 'kapal', 'pesiar', 'merayakan', 'gerakan', 'kaburajadulu']","['urg', 'mending', 'jongos', 'kapal', 'pesiar', 'raya', 'gera', 'kaburajadulu']",urg mending jongos kapal pesiar raya gera kaburajadulu,urg mending jongos cruise boat raya gera kaburajadulu,netral,0.0,1
@harryakb10 #kaburajadulu ?,kaburajadulu,['kaburajadulu'],['kaburajadulu'],['kaburajadulu'],['kaburajadulu'],kaburajadulu,__kabujadulu__,netral,0.0,1
Yuk #kaburajadulu,yuk kaburajadulu,"['yuk', 'kaburajadulu']",['kaburajadulu'],['kaburajadulu'],['kaburajadulu'],kaburajadulu,__kabujadulu__,netral,0.0,1
Buat kalian yang mau cari kerja di Johor le #KaburAjaDulu https://t.co/lV4AeoVYxp,buat kalian yang mau cari kerja di johor le kaburajadulu,"['buat', 'kalian', 'yang', 'mau', 'cari', 'kerja', 'di', 'johor', 'le', 'kaburajadulu']","['cari', 'johor', 'le', 'kaburajadulu']","['cari', 'johor', 'kaburajadulu']","['cari', 'johor', 'kaburajadulu']",cari johor kaburajadulu,find johor __kurabadululu__,netral,0.0,1
